episode,username,comment,quoted_user,quoted_text,join_date,post_num,neg,neu,pos,compound,overall,anger,disgust,fear,joy,neutral,sadness,surprise,ep_rating
Ep14,certifiedbinger,""" I've really grown to hate the fact that I have to spend the first few seconds of opening a random thread by reading a stupid ass comment made by a Sasuke pfp, who clearly doesn't like what they're watching, but still feels the need to rush in and be the first one to shove their abysmal take in everyone's face.  I feel embarrassed, but I think I should vent occasionally.""",IzanaSolos,"""IzanaSolos said:Always remember, this is a sports manga. So please explain to me WHAT THE FUCK IS GOING ON??? We got this dude DROOLING ON THE FUCKING FIELD WITH HIS TONGUE OUT... bro. This show man... and this studio had the FUCKING NERVE TO PUT THE LICKING SOUND EFFECTS WHEN HE CAME FACE-TO-FACE WITH OLIVER... LIKE HELLO???But yeah, again, we in a shounen, so Rin whipping his tongue out and drooling all over the field is all that it takes to make him untouchable... unless THIS DUDE SHIDOU JUST FOULS HIM???? But even with that foul, Rin LOCKS THE FUCK IN... and misses the shot and passes it straight to Sae... LMAOOOOOOOOOOO. Though, I gotta hand it to them, only a second into the second half of the episode AND GOD THEY MOVED... IN 2D??? NOT CGI??? HELLO???And that kagenashi style part with Rin vs. Sae... god. 8bit man WHY COULDN'T YOU COOK LIKE THIS ALL SEASON??? No dialogue, good animation, AND THE MC ACTUALLY DOES SOMETHING FOR ONCE??? NOW THIS IS A SPORTS MANGA. Was this payoff worth the tourment of the all the rest of the season? FUCK NO. I think in my head I remembered this arc to be better, but nah man. The constant talking was so tiring PLUS the  animation... what a blunder of a season man.But that post credit scene does get me scared. I mean, one, ANOTHER SEASON of this would be an embrassment PLUS, this next arc, well, isn't the best lmao.""",21-Jan,1948,0.166,0.808,0.026,-0.8354,negative,0.01526254,0.415400743,0.010838729,0.003186555,0.085470282,0.452662438,0.017178819,4.6
Ep11,certifiedbinger,""" Isagi's goals have always been built up throughout the match. He's gathering 'pieces', like he has mentioned several times. Observing conditions that he needs to fulfill to score. Every detail he observes factors into his final goal. It's honestly a clever style of writing if you pick up on it, despite the fact that Blue Lock is meant to be a very surface level, edgy experience. Subtle build up and foreshadowing.  It's honestly funny how every single episode discussion starts with someone shitting on Isagi; it's as if y'all are more passionate about jumping on the thread first, and comprehend what you saw later.""",Softhenic03,"""Softhenic03 said:Like I’ve said this so many times, but the amount of talking Isagi does inside his head doesn’t equate to even one percent of what he actually ends up doing on the field. Dude is spamming non-stop how he will score the goal, but yeah, when will that be? Anyway, usual complaining with the animation aside, because at this point it’s plain useless, that biology of birth from Shidou was just as dumb as his orgasm when he scored the second goal with those pink ass feathers or whatever lol. Like what the hell was that entire bit lmaoooo.Goal was dope btw. Though again, people like Shidou are achieving flow and then there is this bum Isagi, saying shit like he should’ve done that or done this. Dude nobody is stopping you, so pls do. Though can’t disagree that it was his words which led Ego sub Barou in. The ultimate edgelord who lacks every sort of vocabulary. Still though, if blue lock wants to comeback in this match, only this guy can help them do so with his uber selfish play.""",21-Jan,1948,0.024,0.798,0.178,0.9531,positive,0.019291749,0.08174897,0.005365591,0.196960092,0.165885195,0.011455273,0.519293189,4.2
Ep2,NegativeRei,""" Isn't Blue Lock one of the best selling manga? The first season also did really well. Why can't there be consistent good quality?""",Power_csm,"""Power_csm said:Pre_Yum said:Oh boy... Isagi can't do anything in this game so far. Everyone's outshining him in one way or another and he can't seem to get past these top players. They're far behind his reach so far. But, it seems like there might be some hope for him, using Rin and Shidou in his favor going forward.By the way, the two kids on Isagi's team are so sweet. I like them both. Completely different than what Isagi is used to. LOL. Also, Chigiri was amazing during his time that even his top teammates were impressed by him. Very limited animation wise, sadly.Yes.I am guessing they saved the budget for the actual u20 match.Hope to see good animation in that match""",24-Sep,399,0.0,0.67,0.33,0.8706,positive,0.008752975,0.00539945,0.001924989,0.035664305,0.293514609,0.008888771,0.64585495,3.2
Ep12,NobuchikaGino,""" It wasn‘t offside because of Aryu""",gauravb28,"""gauravb28 said:I suppose there is no such thing as offside in blue lock verse. The pass from sae to Shidou was clear offside.I don't even have hopes from manga at this point. The story and characters are even worse than the animation.""",21-Feb,2,0.0,1.0,0.0,0.0,neutral,0.036326997,0.083896793,0.041672613,0.00394629,0.783281565,0.029838467,0.021037221,4.2
Ep14,adbeaver,""" Lmaooo they finally entered the flow in the last minute.    When the aspect ratio changed.. You know shit is about to get down. So this is where all their budget went to lol.   Lol Rin just got baited by his brother. Sorry Rin, but Isagi's the MC.   """,WoodenTapl,"""WoodenTapl said:This must've been 8bit studio's flow.""",15-Mar,1074,0.069,0.856,0.076,0.09,neutral,0.115173206,0.059007317,0.214177534,0.051892713,0.308752507,0.136214972,0.114781737,4.6
Ep14,joshlill,""" No they did not at all. Happy clappers like you are why we get this shit""",blank,"""blank said:Holy shit they did it... redeemed themselves with the ending""",24-Mar,78,0.395,0.501,0.104,-0.7875,negative,0.261142969,0.370713681,0.004811091,0.029121164,0.246945456,0.013743849,0.073521741,4.6
Ep7,shotbychuka,""" Same here. I can’t get enough of it!""",a0i-kun,"""a0i-kun said:i’ve rewatched nagi’s goal like 10 times. it’s so sick""",23-Nov,7,0.0,1.0,0.0,0.0,neutral,0.178206161,0.250291735,0.014864567,0.005356007,0.067097694,0.342184156,0.141999692,4.1
Ep14,Royalty459,""" Thank you for this. We need to start praising these animators more because they deserve it.""",M-T_S,"""M-T_S said:@AJ_JODAJ_JOD said:8bit literally animated Rin [Berserker mode aka his flow] vs Itoshi Sae that great ,i literallly forgot all my complaints related to Animations[Powerpoint presentations, poor cgi etc ] ...just credit the animator!!He had to draw 80 cuts on top of storyboarding that part of the episodehttps://x.com/pe_po_po/status/1873041504354353571?t=GlW7LWz_92Lmt0Kwa_F2Wg&s=19The Animator^ & one of SB of today's ep""",18-Nov,169,0.0,0.7,0.3,0.7184,positive,0.419209689,0.043050002,0.001694735,0.03098271,0.425387621,0.018304987,0.061370317,4.6
Ep1,Tanmay_Sharma,""" That’s what I’m saying bro 😭  The people complaining are overhyped and spoiled with their demon slayer ahh animation.  This season looks exactly like the first season (and while the cgi stuff is not great, it makes sense with the limited time that animators had to make this)""",GodSherick,"""GodSherick said:I honestly do not see people’s complaints about animation for this first episode. Yes from the trailers I understand but this was a great showing from the first episode. It looked like classic blue lock to me.""",23-Feb,5,0.133,0.819,0.048,-0.5414,negative,0.218671799,0.188371509,0.001833173,0.010761128,0.525834203,0.036701396,0.017826749,4.0
Ep12,Volts71,""" There was one of the earlier episodes in which isagi and bachira's moms were discussing about soccer and one of them mentioned "" I still don't understand what offside is "" while the other replied with "" me neither "" but I guess the manga writer never considered putting it in the games to begin with.""",gauravb28,"""gauravb28 said:I suppose there is no such thing as offside in blue lock verse. The pass from sae to Shidou was clear offside.I don't even have hopes from manga at this point. The story and characters are even worse than the animation.""",20-Sep,217,0.0,1.0,0.0,0.0,neutral,0.01252414,0.018197533,0.008774925,0.007376986,0.624007404,0.039765712,0.289353281,4.2
Ep10,eleanorenchanted,""" They were in full in-law mode""",Nerdason,"""Nerdason said:God forgive me, but...""",20-Mar,36,0.0,1.0,0.0,0.0,neutral,0.006030695,0.00467949,0.002157832,0.007973674,0.940736532,0.007715259,0.030706516,4.1
Ep2,Dan_ALves,""" This part of the story isn't part of the u20 arc?""",AyaazMahim,"""AyaazMahim said:Chigiri sequence was my favorite that's it the episode man lol there literally wasn't any animation IT'S A LITERAL PNG SLIDESHOW, feels like a a motion manga one of those edits but with voice. Still in some department this season is better than the last like overall drawing quality, the compositing vfx which at times can be bit too much and the usage CGI seems to be a lot better this season. This episode gave me second hand embarrassment where I was trying to defend this season animation... hopefully when U20 match starts it will have ACTUAL ANIMATION.""",22-May,1132,0.0,1.0,0.0,0.0,neutral,0.006122353,0.008560835,0.002788577,0.001987255,0.850271285,0.007014376,0.123255365,3.2
Ep1,Ricky16,""" What the heck did I just witness.""",phantomfandom,"""phantomfandom said:You know, I watch episode Nagi in cinema, and while I think it's not a good movie, it's at least can be a good recap, so just in case someone want a good reminder about who is who then I suggest watching the movie instead.Now back to this episode, I'm one of the rare type of audience who's actually looking forward to additional time, yes, I want to know which guy is sleeping in the same room as which guy, and I get want I want. So I'm gonna say this episode does satisfy me.""",22-Aug,1766,0.0,1.0,0.0,0.0,neutral,0.239952505,0.125781685,0.013877288,0.003987219,0.03173124,0.014917297,0.569752753,4.0
Ep1,Confused_100,""" Wow saying an opinion is bad, btw where did I contradict myself lol""",Sheol01,"""Sheol01 said:@Confused_100That is almost an oxymoron. Definitely not something that really exists.""",23-Feb,1243,0.284,0.392,0.324,0.2023,positive,0.03825403,0.103305317,0.00710926,0.003622558,0.017125124,0.020959705,0.809623957,4.0
Ep2,FrenziedIvan,""" Yeah, I was so hyped for this season that I ended up soo disappointed with this episode. I just hope they’re saving the good animation for the match against the U-20.""",Smudy,"""Smudy said:I didn't just imagine this, right? The soccer match is really just slideshows holy shit""",24-Aug,2,0.088,0.684,0.228,0.5994,positive,0.007885267,0.01680872,0.001942836,0.032677602,0.21346651,0.668941498,0.058277588,3.2
Ep2,Musashi_Arun,""" Yes.I am guessing they saved the budget for the actual u20 match.Hope to see good animation in that match""",Pre_Yum,"""Pre_Yum said:Oh boy... Isagi can't do anything in this game so far. Everyone's outshining him in one way or another and he can't seem to get past these top players. They're far behind his reach so far. But, it seems like there might be some hope for him, using Rin and Shidou in his favor going forward.By the way, the two kids on Isagi's team are so sweet. I like them both. Completely different than what Isagi is used to. LOL. Also, Chigiri was amazing during his time that even his top teammates were impressed by him. Very limited animation wise, sadly.""",20-Oct,207,0.0,0.749,0.251,0.6908,positive,0.002994561,0.001705458,0.00146941,0.357148677,0.503247201,0.018754393,0.114680327,3.2
Ep1,Confused_100,""" You really have toxic positivity dude lol""",thebrentinator24,"""thebrentinator24 said:While everyone is already complaining about the animation (classic MAL 🚬🐤), I'm going to hold off on giving my opinion until I actually see a soccer match. Not really much to go off with this episode since it was pretty much just talking, setup, and a lot of close up shots of the characters.Still, it's nice to have Blue Lock back, as I actually do enjoy this show despite the shortcomings of 8bit's animation. I was hoping to see Isagi as part of the top 6, or even in that runner-up 7th spot, but yea he does still have a lot of room for improvement before he can rank that high. Overall it was a decent return for the series, as we see a lot of familiar faces again along with some new ones.""",23-Feb,1243,0.0,0.44,0.56,0.7479,positive,0.131298095,0.696566463,0.008157865,0.009910195,0.063921764,0.020091295,0.07005433,4.0
Ep11,OrderInTheCourt,""" do you think achieving in a flow state in real life is also easy? also yes it exists in real life. to achieve a flow state your mind and body must meet a specific criteria where youre in a specific scenario. What this u-20 was building up for our mc here is finding his 'flow'. if isagi were constantly going to flow here then what was the buildup and hype for? trust me isagi s goal in the manga was shit intense. so just shut up and wait for it, the animation and art was insane this episode, they're putting actual animation in goals not movement. though does it really matter? why are you so hyperfocused on the cons? always complaining, pisses me off.""",Softhenic03,"""Softhenic03 said:Like I’ve said this so many times, but the amount of talking Isagi does inside his head doesn’t equate to even one percent of what he actually ends up doing on the field. Dude is spamming non-stop how he will score the goal, but yeah, when will that be? Anyway, usual complaining with the animation aside, because at this point it’s plain useless, that biology of birth from Shidou was just as dumb as his orgasm when he scored the second goal with those pink ass feathers or whatever lol. Like what the hell was that entire bit lmaoooo.Goal was dope btw. Though again, people like Shidou are achieving flow and then there is this bum Isagi, saying shit like he should’ve done that or done this. Dude nobody is stopping you, so pls do. Though can’t disagree that it was his words which led Ego sub Barou in. The ultimate edgelord who lacks every sort of vocabulary. Still though, if blue lock wants to comeback in this match, only this guy can help them do so with his uber selfish play.""",22-Sep,60,0.079,0.827,0.094,0.2624,positive,0.165763229,0.018788964,0.009719994,0.009861963,0.379946649,0.010672733,0.405246437,4.2
Ep3,levibigass,""" fed up of this excuse man""",AmirKazeXD,"""AmirKazeXD said:@levibigassWe can just hope they are saving for the U-20 arc.""",22-Jan,278,0.0,0.784,0.216,0.0964,neutral,0.523947954,0.206503242,0.003867534,0.002864762,0.186858699,0.058082152,0.017875621,3.5
Ep4,Trey21,""" honestly at this point lol""",Gekko_ua,"""Gekko_ua said:Another great episode with eyes closed!""",22-Jun,1,0.0,0.341,0.659,0.7003,positive,0.017913641,0.043822337,0.011836082,0.326079339,0.518845081,0.073870525,0.007632983,3.5
Ep2,NegativeRei,""" let's just hope they saved the budget for the U20 match""",Power_csm,"""Power_csm said:@ZeroMeitantei i don’t know man.I think maybe it’s cause the change of director.Last season was great compared to this new garbage episode.Thank god I read the manga""",24-Sep,399,0.0,0.612,0.388,0.6908,positive,0.005238814,0.002019126,0.000946924,0.110625923,0.821394026,0.014114352,0.045660857,3.2
Ep14,OrderInTheCourt,""" put some respect to the animators and instead of hating on the anime hate on the directors instead who set the animators on a strict schedule.""",IzanaSolos,"""IzanaSolos said:Always remember, this is a sports manga. So please explain to me WHAT THE FUCK IS GOING ON??? We got this dude DROOLING ON THE FUCKING FIELD WITH HIS TONGUE OUT... bro. This show man... and this studio had the FUCKING NERVE TO PUT THE LICKING SOUND EFFECTS WHEN HE CAME FACE-TO-FACE WITH OLIVER... LIKE HELLO???But yeah, again, we in a shounen, so Rin whipping his tongue out and drooling all over the field is all that it takes to make him untouchable... unless THIS DUDE SHIDOU JUST FOULS HIM???? But even with that foul, Rin LOCKS THE FUCK IN... and misses the shot and passes it straight to Sae... LMAOOOOOOOOOOO. Though, I gotta hand it to them, only a second into the second half of the episode AND GOD THEY MOVED... IN 2D??? NOT CGI??? HELLO???And that kagenashi style part with Rin vs. Sae... god. 8bit man WHY COULDN'T YOU COOK LIKE THIS ALL SEASON??? No dialogue, good animation, AND THE MC ACTUALLY DOES SOMETHING FOR ONCE??? NOW THIS IS A SPORTS MANGA. Was this payoff worth the tourment of the all the rest of the season? FUCK NO. I think in my head I remembered this arc to be better, but nah man. The constant talking was so tiring PLUS the  animation... what a blunder of a season man.But that post credit scene does get me scared. I mean, one, ANOTHER SEASON of this would be an embrassment PLUS, this next arc, well, isn't the best lmao.""",22-Sep,60,0.218,0.685,0.097,-0.5994,negative,0.686304986,0.223113731,0.006457213,0.002952941,0.063271545,0.014808619,0.003090915,4.6
Ep1,luvcalv,""" right? these guys are spoiled""",GodSherick,"""GodSherick said:I honestly do not see people’s complaints about animation for this first episode. Yes from the trailers I understand but this was a great showing from the first episode. It looked like classic blue lock to me.""",20-Nov,101,0.0,1.0,0.0,0.0,neutral,0.049668841,0.058110107,0.000642115,0.10082183,0.751372218,0.013568961,0.025815917,4.0
Ep9,yummy_W4ffle,""" the manga is better, but the adaptation for blue box and dandadan is just superior""",Nisanto,"""Nisanto said:@yummy_W4fflethe u20 story is superior then both in my opinion.""",24-Jul,201,0.0,0.66,0.34,0.7717,positive,0.007057964,0.031289179,0.00185824,0.184059933,0.498126626,0.138602823,0.139005214,4.0
Ep3,Avek_PT,""" the manga is super popular... they have the money.. is not a question of lack of popularity or sales... the animation is not good. season 1 was better  I'm reading the manga.. i think people can complain if it's not on the standards we expected""",SenpaiTM,"""SenpaiTM said:It was okay. I can't understand ppl watching things they don't like. Just drop it.For me it is a 5-6/10. They obviously don't have the money for more animations, so it will not get better.""",11-Aug,1,0.093,0.682,0.225,0.7879,positive,0.188767701,0.017833218,0.062273216,0.150038958,0.111413665,0.34050101,0.12917228,3.5
Ep14,chuajohn05,""" this last ep is literrally the best among this season. At least they cook this part fucking good""",Nerdason,"""Nerdason said:Absolute Cinema ✋😦✋""",13-Jun,23,0.0,0.684,0.316,0.8122,positive,0.109097637,0.225184649,0.002407465,0.182815611,0.45489645,0.007186755,0.018411465,4.6
Ep5,yummy_W4ffle,""" yeah not gonna lie it was okay, not a lot of action so the animation was not a big deal""",EmilCioran,"""EmilCioran said:i think today's episode was well done""",24-Jul,201,0.0,0.796,0.204,0.4767,positive,0.012103661,0.02846521,0.008301453,0.136387408,0.54823488,0.224439487,0.042067889,3.9
Ep10,Ronninn,""" yeah, do you notice the panning pngs still looked detailed but this episode not so much""",THE_BigDingus,"""THE_BigDingus said:@RonninnDid they? I still see mostly CG & panning PNGs.""",20-Jan,2255,0.0,0.904,0.096,0.1531,positive,0.007414287,0.018430077,0.00314575,0.011552763,0.397005349,0.034507647,0.527944088,4.1
Ep10,Khan_chan,""" yes great defence by Reo cool""",Matchappie,"""Matchappie said:CHAMELEON DEFENSE!!!!""",21-Apr,41,0.0,0.16,0.84,0.8591,positive,0.002147302,0.000641317,0.000879464,0.80614984,0.074530326,0.013640335,0.102011465,4.1
Ep9,yummy_W4ffle,""" you forgot dandadan and blue box my friend...""",Nisanto,"""Nisanto said:If they animated the whole season with animation level of the 1v1 , Then it would have been anime of the season""",24-Jul,201,0.0,1.0,0.0,0.0,neutral,0.010091063,0.008494063,0.003450726,0.024436293,0.376251459,0.145706043,0.431570381,4.0
Ep14,M-T_S,""" *Hajime Nihari the animator""",Rexnihilo,"""Rexnihilo said:8bit cooked""",20-Dec,166,0.0,1.0,0.0,0.0,neutral,0.00873576,0.017249413,0.008995559,0.125242934,0.664084911,0.024057794,0.15163365,4.6
Ep14,M-T_S,""" Don't forgive them!!  They were the reason why most of the animators work/season looked trash and were the reason why Hajime Nihari had to draw 80 cuts on top of drawing the storyboard for that section of the EP""",MeCuMint,"""MeCuMint said:Forgive me for everything 8-bit""",20-Dec,166,0.108,0.849,0.042,-0.4211,negative,0.641094863,0.032776348,0.021877108,0.013836117,0.025196338,0.236563876,0.028655445,4.6
Ep4,adbeaver,"""   Nagi is ranked 6 out of the top 6""",yellowheartren,"""yellowheartren said:""Nicely done, number 6""? What's he even talking about? That was just confusing.""",15-Mar,1074,0.0,0.769,0.231,0.2023,positive,0.027376806,0.007249226,0.047877569,0.037649564,0.711990714,0.019601166,0.148254946,3.5
Ep3,AmirKazeXD,"""   You described Record Of Ragnarok Season 1.  At least they improved in the second season. """,thebrentinator24,"""thebrentinator24 said:Imagine you're watching a cool fight in the anime adaptation of your favorite action manga, and it's just slideshow images with punching sound effects over it.""",24-Feb,360,0.0,0.819,0.181,0.4767,positive,0.019272696,0.038904604,0.017792122,0.008661013,0.892881393,0.00944613,0.013042019,3.5
Ep12,Sheol01,"""           Man, that Maid Cafe' thing was the BOMB! ROFLMAO""",,,24-Jul,4111,0.254,0.453,0.293,0.1511,positive,0.00849429,0.002250606,0.00849544,0.116256014,0.040712032,0.033191845,0.790599763,4.2
Ep9,Sheol01,"""         More action in the non-action episode! LOL. Damn, his Sister is hot. She outshines her mother.""",,,24-Jul,4111,0.132,0.682,0.186,0.2789,positive,0.019010786,0.006471456,0.001410523,0.691043556,0.041012362,0.060294803,0.180756599,4.0
Ep11,Sheol01,"""       Definitely an improvement, now can they keep this up?        And what was with the weird sperm/ova procreation imagery? ROFLMAO""",,,24-Jul,4111,0.063,0.556,0.381,0.8622,positive,0.021641806,0.021037368,0.040163342,0.070508964,0.171161532,0.03519696,0.640289962,4.2
